Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
Google,B,max,max,0,in,11.8398,3221.573292448293
Google,B,max,max,0,task,16.8534,6217.11155889565
Google,B,max,max,1,task,19.3062,6168.403441003443
Google,B,max,max,2,task,9.5207,5425.190596440596
Google,B,max,max,3,task,17.9686,6300.15477956387
Google,B,max,max,4,task,5.6694,5129.823232323233
Google,B,max,max,5,task,6.5158,5062.966810966812
Google,B,max,max,6,task,7.0648,5164.552571166208
Google,B,max,max,7,task,7.2658,5250.103896103897
Google,B,max,max,8,task,10.1207,5721.265151515152
Google,B,max,max,9,task,5.2918,4033.6457431457434
Google,B,max,max,10,task,8.2814,4519.358197358198
Google,B,max,max,10,out,2.04904,
Google,G,max,max,0,in,12.3611,2923.214720736779
Google,G,max,max,0,task,12.813,3841.6877104377118
Google,G,max,max,1,task,11.116,3629.5572390572397
Google,G,max,max,2,task,6.9818,3346.401515151515
Google,G,max,max,3,task,14.7921,3547.4695001967725
Google,G,max,max,4,task,6.1703,3141.8980716253445
Google,G,max,max,5,task,7.2597,3219.8585858585857
Google,G,max,max,6,task,7.6645,3274.814814814815
Google,G,max,max,7,task,8.1868,3309.512626262626
Google,G,max,max,8,task,11.8347,3430.4489790376892
Google,G,max,max,9,task,5.4387,3079.527089072543
Google,G,max,max,10,task,8.0125,3347.93883893884
Google,G,max,max,10,out,2.92959,
Google,L,max,max,0,in,29.9801,2528.779822711249
Google,L,max,max,0,task,44.2293,3253.1303356142066
Google,L,max,max,1,task,63.9489,3159.1741609644837
Google,L,max,max,2,task,23.0715,3204.3768066194534
Google,L,max,max,3,task,47.4637,3345.868766767497
Google,L,max,max,4,task,15.424,3209.9817726133515
Google,L,max,max,5,task,17.3095,3187.4938116341273
Google,L,max,max,6,task,22.8054,3146.378156565657
Google,L,max,max,7,task,19.634,3228.270618270619
Google,L,max,max,8,task,29.0373,3345.0705266955265
Google,L,max,max,9,task,11.1951,3141.0613118765295
Google,L,max,max,10,task,16.6583,3203.913568686296
Google,L,max,max,10,out,2.73626,
InceptionV3,B,max,max,0,in,20.7045,3333.8095894004987
InceptionV3,B,max,max,0,task,5.78,5211.060606060606
InceptionV3,B,max,max,1,task,15.0446,5298.440135621953
InceptionV3,B,max,max,2,task,26.221,6180.855579436356
InceptionV3,B,max,max,3,task,3.2613,4143.434343434344
InceptionV3,B,max,max,4,task,22.5656,6718.064054409642
InceptionV3,B,max,max,5,task,19.6826,6554.297707343161
InceptionV3,B,max,max,6,task,22.0345,6612.684764309764
InceptionV3,B,max,max,7,task,23.387,6686.283100613983
InceptionV3,B,max,max,8,task,23.1696,7434.525038711537
InceptionV3,B,max,max,9,task,24.28,6604.799517058408
InceptionV3,B,max,max,10,task,30.1952,6609.945459678663
InceptionV3,B,max,max,11,task,30.6223,6533.897003408029
InceptionV3,B,max,max,12,task,35.6873,6847.661303859854
InceptionV3,B,max,max,13,task,17.2616,6517.767637731753
InceptionV3,B,max,max,14,task,21.7378,5842.996838129191
InceptionV3,B,max,max,15,task,26.078,6108.825847365673
InceptionV3,B,max,max,16,task,2.2018,2806.2484848484846
InceptionV3,B,max,max,16,out,1.74075,
InceptionV3,G,max,max,0,in,20.9538,3049.5469731191088
InceptionV3,G,max,max,0,task,4.4826,3608.4595959595968
InceptionV3,G,max,max,1,task,11.9515,3585.7651515151515
InceptionV3,G,max,max,2,task,18.1829,3754.809634809635
InceptionV3,G,max,max,3,task,3.1321,2623.434343434343
InceptionV3,G,max,max,4,task,18.0147,3732.746697746698
InceptionV3,G,max,max,5,task,17.6318,3744.8957523957524
InceptionV3,G,max,max,6,task,19.3332,3753.6370646896958
InceptionV3,G,max,max,7,task,20.1248,3727.760093707462
InceptionV3,G,max,max,8,task,29.2473,3488.3354076479077
InceptionV3,G,max,max,9,task,24.6913,3674.012675777381
InceptionV3,G,max,max,10,task,32.8573,3609.1508053095476
InceptionV3,G,max,max,11,task,32.8602,3600.300148221343
InceptionV3,G,max,max,12,task,40.9421,3565.378240533413
InceptionV3,G,max,max,13,task,21.5925,3430.9700106656624
InceptionV3,G,max,max,14,task,24.4545,3511.0066925525216
InceptionV3,G,max,max,15,task,30.4537,3458.5373529292037
InceptionV3,G,max,max,16,task,2.0383,2403.31955922865
InceptionV3,G,max,max,16,out,2.22057,
InceptionV3,L,max,max,0,in,53.2258,2570.6261387256054
InceptionV3,L,max,max,0,task,12.9379,3223.12173012173
InceptionV3,L,max,max,1,task,43.1395,3136.627431152459
InceptionV3,L,max,max,2,task,92.176,3178.5940506253005
InceptionV3,L,max,max,3,task,7.2495,3080.0101010101007
InceptionV3,L,max,max,4,task,78.5253,3310.373647672507
InceptionV3,L,max,max,5,task,56.0095,3366.5430154145574
InceptionV3,L,max,max,6,task,63.3069,3367.9984570688675
InceptionV3,L,max,max,7,task,66.3324,3341.522329112621
InceptionV3,L,max,max,8,task,62.6511,3747.519457227572
InceptionV3,L,max,max,9,task,69.5499,3506.990662656247
InceptionV3,L,max,max,10,task,83.027,3569.6574577172255
InceptionV3,L,max,max,11,task,83.2184,3539.8323428669246
InceptionV3,L,max,max,12,task,96.5836,3586.08713514766
InceptionV3,L,max,max,13,task,45.3929,3605.4786779081132
InceptionV3,L,max,max,14,task,53.0744,3426.117971117971
InceptionV3,L,max,max,15,task,69.2943,3441.7998904714054
InceptionV3,L,max,max,16,task,3.3646,2615.6190941674813
InceptionV3,L,max,max,16,out,1.12936,
InceptionV4,B,max,max,0,in,20.9723,3414.2089557346476
InceptionV4,B,max,max,0,task,5.4021,5524.838383838384
InceptionV4,B,max,max,1,task,15.0856,5419.8512396694205
InceptionV4,B,max,max,2,task,26.3502,6293.481757281714
InceptionV4,B,max,max,3,task,17.7307,7352.65971402335
InceptionV4,B,max,max,4,task,52.8949,6766.088398469976
InceptionV4,B,max,max,5,task,25.0691,7982.359688213402
InceptionV4,B,max,max,6,task,26.265,6703.2716385989215
InceptionV4,B,max,max,7,task,26.1472,6735.743230693272
InceptionV4,B,max,max,8,task,25.5358,6776.801756321881
InceptionV4,B,max,max,9,task,26.0069,6806.963230640476
InceptionV4,B,max,max,10,task,49.7389,7623.84882566868
InceptionV4,B,max,max,11,task,49.2187,7173.629760126452
InceptionV4,B,max,max,12,task,48.7963,7204.76273812424
InceptionV4,B,max,max,13,task,48.4554,7204.139264207351
InceptionV4,B,max,max,14,task,48.5068,7236.913932719727
InceptionV4,B,max,max,15,task,48.6543,7170.879935114274
InceptionV4,B,max,max,16,task,48.1276,7238.547502075114
InceptionV4,B,max,max,17,task,48.7278,7138.51502668683
InceptionV4,B,max,max,18,task,26.7125,7314.969954464194
InceptionV4,B,max,max,19,task,19.3396,6525.106371841667
InceptionV4,B,max,max,20,task,19.3816,6559.31267818684
InceptionV4,B,max,max,21,task,19.1618,6627.2807192807195
InceptionV4,B,max,max,22,task,1.6377,2830.9536541889483
InceptionV4,B,max,max,22,out,1.77052,
InceptionV4,G,max,max,0,in,20.8885,3054.1697073786995
InceptionV4,G,max,max,0,task,4.5797,3613.838383838384
InceptionV4,G,max,max,1,task,11.9495,3636.5319865319866
InceptionV4,G,max,max,2,task,18.7217,3751.97274947275
InceptionV4,G,max,max,3,task,20.3245,3770.4069264069262
InceptionV4,G,max,max,4,task,45.9602,3872.7602639296183
InceptionV4,G,max,max,5,task,25.8571,3740.0334689963174
InceptionV4,G,max,max,6,task,20.5379,3760.6493506493503
InceptionV4,G,max,max,7,task,20.5027,3739.608946608947
InceptionV4,G,max,max,8,task,20.5733,3729.3170995670994
InceptionV4,G,max,max,9,task,20.5349,3724.8167388167385
InceptionV4,G,max,max,10,task,61.6709,3567.9687112207944
