Graph,Freq,Freq_Host,Layer,Metric,Energy_B,Energy_G,Energy_L,Power_B,Power_G,Power_L,Time_B,Time_G,Time_L,Min_Time,Min_Time_Component,Min_Energy,Min_Energy_Component
Google,max,max,0,in,38.14,36.13,75.81,3221.57,2923.21,2528.78,11.84,12.36,29.98,11.84,B,36.13,G
Google,max,max,0,task,104.78,49.22,143.88,6217.11,3841.69,3253.13,16.85,12.81,44.23,12.81,G,49.22,G
Google,max,max,1,task,119.09,40.35,202.03,6168.40,3629.56,3159.17,19.31,11.12,63.95,11.12,G,40.35,G
Google,max,max,2,task,51.65,23.36,73.93,5425.19,3346.40,3204.38,9.52,6.98,23.07,6.98,G,23.36,G
Google,max,max,3,task,113.20,52.47,158.81,6300.15,3547.47,3345.87,17.97,14.79,47.46,14.79,G,52.47,G
Google,max,max,4,task,29.08,19.39,49.51,5129.82,3141.90,3209.98,5.67,6.17,15.42,5.67,B,19.39,G
Google,max,max,5,task,32.99,23.38,55.17,5062.97,3219.86,3187.49,6.52,7.26,17.31,6.52,B,23.38,G
Google,max,max,6,task,36.49,25.10,71.75,5164.55,3274.81,3146.38,7.06,7.66,22.81,7.06,B,25.10,G
Google,max,max,7,task,38.15,27.09,63.38,5250.10,3309.51,3228.27,7.27,8.19,19.63,7.27,B,27.09,G
Google,max,max,8,task,57.90,40.60,97.13,5721.27,3430.45,3345.07,10.12,11.83,29.04,10.12,B,40.60,G
Google,max,max,9,task,21.35,16.75,35.16,4033.65,3079.53,3141.06,5.29,5.44,11.20,5.29,B,16.75,G
Google,max,max,10,task,37.43,26.83,53.37,4519.36,3347.94,3203.91,8.28,8.01,16.66,8.01,G,26.83,G
Google,max,max,10,out,6.60,8.56,6.92,3221.57,2923.21,2528.78,2.05,2.93,2.74,2.05,B,6.60,B
InceptionResnetV2,max,max,0,in,70.42,64.38,139.00,3389.59,3085.78,2601.21,20.78,20.86,53.44,20.78,B,64.38,G
InceptionResnetV2,max,max,0,task,29.56,16.07,41.23,5395.21,3649.62,3287.13,5.48,4.40,12.54,4.40,G,16.07,G
InceptionResnetV2,max,max,1,task,81.05,43.07,140.79,5365.93,3622.89,3165.33,15.11,11.89,44.48,11.89,G,43.07,G
InceptionResnetV2,max,max,2,task,166.23,70.83,297.14,6256.38,3802.37,3186.25,26.57,18.63,93.26,18.63,G,70.83,G
InceptionResnetV2,max,max,3,task,13.39,8.64,22.63,4073.79,2685.51,3142.18,3.29,3.22,7.20,3.22,G,8.64,G
InceptionResnetV2,max,max,4,task,159.29,68.65,261.65,6750.70,3773.71,3320.87,23.60,18.19,78.79,18.19,G,68.65,G
InceptionResnetV2,max,max,5,task,136.12,71.26,198.96,6704.26,3767.73,3381.97,20.30,18.91,58.83,18.91,G,71.26,G
InceptionResnetV2,max,max,6,task,72.67,40.19,101.23,5842.67,3733.19,3298.10,12.44,10.76,30.69,10.76,G,40.19,G
InceptionResnetV2,max,max,7,task,74.60,40.37,101.37,5947.54,3724.49,3295.32,12.54,10.84,30.76,10.84,G,40.37,G
InceptionResnetV2,max,max,8,task,73.16,40.60,102.87,5846.02,3750.05,3336.93,12.51,10.83,30.83,10.83,G,40.60,G
InceptionResnetV2,max,max,9,task,73.54,39.88,102.13,5928.16,3696.12,3318.00,12.41,10.79,30.78,10.79,G,39.88,G
InceptionResnetV2,max,max,10,task,72.80,40.03,102.36,5935.37,3749.27,3324.74,12.27,10.68,30.79,10.68,G,40.03,G
InceptionResnetV2,max,max,11,task,74.12,39.88,101.98,5998.85,3715.49,3313.95,12.36,10.73,30.77,10.73,G,39.88,G
InceptionResnetV2,max,max,12,task,73.21,40.15,102.41,5862.11,3736.49,3324.15,12.49,10.74,30.81,10.74,G,40.15,G
InceptionResnetV2,max,max,13,task,73.08,39.78,102.24,5925.00,3713.78,3322.95,12.33,10.71,30.77,10.71,G,39.78,G
InceptionResnetV2,max,max,14,task,72.61,39.67,102.22,5835.12,3701.86,3320.22,12.44,10.72,30.79,10.72,G,39.67,G
InceptionResnetV2,max,max,15,task,73.24,39.98,102.71,5908.21,3725.85,3331.01,12.40,10.73,30.84,10.73,G,39.98,G
