Graph,Freq,Freq_Host,Layer,Metric,Energy_B,Energy_G,Energy_L,Power_B,Power_G,Power_L,Time_B,Time_G,Time_L,Min_Time,Min_Time_Component,Min_Energy,Min_Energy_Component
Google,max,max,0,in,40726.34,36676.43,82822.66,3441.61,3035.88,2791.57,11.83,12.08,29.67,11.83,B,36676.43,G
Google,max,max,0,task,116231.02,97565.26,156896.43,6398.62,3334.95,3589.49,18.17,29.26,43.71,18.17,B,97565.26,G
Google,max,max,1,task,122391.06,78469.68,215035.81,5989.55,3283.64,3405.65,20.43,23.90,63.14,20.43,B,78469.68,G
Google,max,max,2,task,54069.40,49131.15,78089.73,5671.52,3210.35,3423.67,9.53,15.30,22.81,9.53,B,49131.15,G
Google,max,max,3,task,117390.46,106835.07,168722.62,6551.68,3234.32,3596.09,17.92,33.03,46.92,17.92,B,106835.07,G
Google,max,max,4,task,32236.22,44662.85,52552.62,4970.51,3199.85,3468.02,6.49,13.96,15.15,6.49,B,32236.22,B
Google,max,max,5,task,38627.29,52887.71,58853.35,5401.51,3207.10,3465.75,7.15,16.49,16.98,7.15,B,38627.29,B
Google,max,max,6,task,40908.54,54131.74,76815.71,5041.47,3180.80,3406.27,8.11,17.02,22.55,8.11,B,40908.54,B
Google,max,max,7,task,41541.12,60346.19,69304.97,5404.57,3165.24,3545.12,7.69,19.07,19.55,7.69,B,41541.12,B
Google,max,max,8,task,61157.49,85997.53,105061.22,5779.99,3159.34,3643.19,10.58,27.22,28.84,10.58,B,61157.49,B
Google,max,max,9,task,23380.96,35161.73,36940.39,4111.23,3071.11,3318.81,5.69,11.45,11.13,5.69,B,23380.96,B
Google,max,max,10,out,6030.98,6834.82,6821.80,3441.61,3035.88,2791.57,1.75,2.25,2.44,1.75,B,6030.98,B
Google,max,max,10,task,39573.74,52967.33,56361.21,4814.79,3132.75,3427.86,8.22,16.91,16.44,8.22,B,39573.74,B
InceptionResnetV2,max,max,0,in,71758.04,65954.15,142333.60,3451.96,3239.40,2681.54,20.79,20.36,53.08,20.36,G,65954.15,G
InceptionResnetV2,max,max,0,task,32272.80,21934.57,41987.00,5568.50,3640.23,3351.16,5.80,6.03,12.53,5.80,B,21934.57,G
InceptionResnetV2,max,max,1,task,84989.85,62218.56,141184.74,5475.51,3463.34,3235.55,15.52,17.96,43.64,15.52,B,62218.56,G
InceptionResnetV2,max,max,2,task,163931.91,98654.63,302192.14,6306.24,3483.76,3265.60,26.00,28.32,92.54,26.00,B,98654.63,G
InceptionResnetV2,max,max,3,task,11072.85,14152.98,23192.78,3762.31,2975.13,3251.38,2.94,4.76,7.13,2.94,B,11072.85,B
InceptionResnetV2,max,max,4,task,156373.52,95844.01,267843.94,7000.62,3457.06,3414.71,22.34,27.72,78.44,22.34,B,95844.01,G
InceptionResnetV2,max,max,5,task,136613.08,96285.19,203950.49,6626.94,3458.11,3496.35,20.61,27.84,58.33,20.61,B,96285.19,G
InceptionResnetV2,max,max,6,task,72778.27,55290.91,104016.01,5793.53,3480.24,3469.31,12.56,15.89,29.98,12.56,B,55290.91,G
InceptionResnetV2,max,max,7,task,73134.93,54247.90,103614.13,6010.58,3485.38,3449.16,12.17,15.56,30.04,12.17,B,54247.90,G
InceptionResnetV2,max,max,8,task,73489.38,53964.83,104500.62,5971.35,3453.15,3472.65,12.31,15.63,30.09,12.31,B,53964.83,G
InceptionResnetV2,max,max,9,task,73774.79,54232.64,101913.02,5976.33,3424.08,3396.73,12.34,15.84,30.00,12.34,B,54232.64,G
InceptionResnetV2,max,max,10,task,73407.78,55632.88,102098.22,5892.23,3446.23,3395.28,12.46,16.14,30.07,12.46,B,55632.88,G
InceptionResnetV2,max,max,11,task,74175.46,54809.28,101972.02,6046.01,3444.46,3405.12,12.27,15.91,29.95,12.27,B,54809.28,G
InceptionResnetV2,max,max,12,task,73019.79,54337.23,101857.31,6008.38,3430.75,3401.51,12.15,15.84,29.94,12.15,B,54337.23,G
InceptionResnetV2,max,max,13,task,71298.79,54641.17,103002.09,5850.88,3438.19,3423.83,12.19,15.89,30.08,12.19,B,54641.17,G
InceptionResnetV2,max,max,14,task,73910.93,54151.06,103503.63,5941.15,3407.61,3445.80,12.44,15.89,30.04,12.44,B,54151.06,G
InceptionResnetV2,max,max,15,task,73799.58,56034.00,102361.20,5848.06,3469.64,3417.59,12.62,16.15,29.95,12.62,B,56034.00,G
InceptionResnetV2,max,max,16,task,435330.03,379737.58,578779.81,7642.13,3432.03,3821.48,56.96,110.65,151.45,56.96,B,379737.58,G
InceptionResnetV2,max,max,17,task,131265.38,137521.00,188756.87,7086.73,3674.47,3817.46,18.52,37.43,49.45,18.52,B,131265.38,B
InceptionResnetV2,max,max,18,task,132737.62,126775.39,188548.20,6991.75,3770.72,3838.55,18.98,33.62,49.12,18.98,B,126775.39,G
InceptionResnetV2,max,max,19,task,134722.65,129857.88,189488.63,7126.03,3833.96,3856.39,18.91,33.87,49.14,18.91,B,129857.88,G
InceptionResnetV2,max,max,20,task,139919.36,123424.19,193543.39,7133.57,3841.29,3785.73,19.61,32.13,51.12,19.61,B,123424.19,G
InceptionResnetV2,max,max,21,task,140728.49,127298.18,192166.76,7202.11,3807.38,3761.77,19.54,33.43,51.08,19.54,B,127298.18,G
InceptionResnetV2,max,max,22,task,132182.31,126458.42,187980.25,7093.42,3792.83,3812.54,18.63,33.34,49.31,18.63,B,126458.42,G
InceptionResnetV2,max,max,23,task,133118.17,126253.84,189206.84,7014.97,3819.70,3798.68,18.98,33.05,49.81,18.98,B,126253.84,G
InceptionResnetV2,max,max,24,task,134183.12,128043.17,186830.31,7158.91,3816.11,3793.25,18.74,33.55,49.25,18.74,B,128043.17,G
InceptionResnetV2,max,max,25,task,131729.29,130793.26,186047.53,7104.68,3804.08,3784.38,18.54,34.38,49.16,18.54,B,130793.26,G
InceptionResnetV2,max,max,26,task,132107.02,129225.10,186364.79,6969.25,3807.49,3796.17,18.96,33.94,49.09,18.96,B,129225.10,G
InceptionResnetV2,max,max,27,task,131512.57,128067.06,187278.63,6994.79,3815.62,3809.38,18.80,33.56,49.16,18.80,B,128067.06,G
InceptionResnetV2,max,max,28,task,132164.26,129281.13,188321.19,6840.45,3771.65,3832.46,19.32,34.28,49.14,19.32,B,129281.13,G
InceptionResnetV2,max,max,29,task,134310.43,129234.99,188399.87,7115.41,3782.65,3835.40,18.88,34.17,49.12,18.88,B,129234.99,G
InceptionResnetV2,max,max,30,task,132743.15,127094.54,189587.30,6994.36,3770.93,3859.67,18.98,33.70,49.12,18.98,B,127094.54,G
InceptionResnetV2,max,max,31,task,139850.39,132407.39,189390.30,7249.06,3733.76,3842.39,19.29,35.46,49.29,19.29,B,132407.39,G
InceptionResnetV2,max,max,32,task,133011.08,136516.84,186397.14,7141.53,3666.76,3795.19,18.63,37.23,49.11,18.63,B,133011.08,B
InceptionResnetV2,max,max,33,task,137080.18,135140.86,191454.80,7035.92,3658.35,3757.71,19.48,36.94,50.95,19.48,B,135140.86,G
InceptionResnetV2,max,max,34,task,134732.84,132593.36,195128.64,7080.77,3662.58,3717.04,19.03,36.20,52.50,19.03,B,132593.36,G
InceptionResnetV2,max,max,35,task,133669.13,135919.60,197694.75,7146.86,3650.40,3705.16,18.70,37.23,53.36,18.70,B,133669.13,B
InceptionResnetV2,max,max,36,task,136318.09,134875.38,199731.59,7149.73,3675.80,3734.10,19.07,36.69,53.49,19.07,B,134875.38,G
InceptionResnetV2,max,max,37,task,222099.97,164441.64,316573.79,7245.86,3537.22,3744.44,30.65,46.49,84.55,30.65,B,164441.64,G
InceptionResnetV2,max,max,38,task,51091.54,56177.12,81528.55,6199.00,3628.05,3691.88,8.24,15.48,22.08,8.24,B,51091.54,B
InceptionResnetV2,max,max,39,task,53252.11,56524.21,81176.51,6327.56,3604.12,3671.83,8.42,15.68,22.11,8.42,B,53252.11,B
