Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
Google,B,max,max,0,in,11.8132,3211.56808632544
Google,B,max,max,0,task,17.1877,6191.718761036944
Google,B,max,max,1,task,19.9488,6079.685703185704
Google,B,max,max,2,task,9.3514,5497.090864720543
Google,B,max,max,3,task,18.0448,6221.07789306653
Google,B,max,max,4,task,5.7828,4910.238636363636
Google,B,max,max,5,task,6.4711,5037.140882509304
Google,B,max,max,6,task,6.9342,5076.312240047534
Google,B,max,max,7,task,7.3903,5274.904040404041
Google,B,max,max,8,task,10.2548,5627.902648034227
Google,B,max,max,9,task,5.4756,3900.930976430976
Google,B,max,max,10,task,8.1646,4444.90922209104
Google,B,max,max,10,out,2.1463,
Google,G,max,max,0,in,12.5088,2898.9945038621518
Google,G,max,max,0,task,32.3471,3117.1427435245264
Google,G,max,max,1,task,25.9372,3026.9848926547493
Google,G,max,max,2,task,16.3524,2946.28823889519
Google,G,max,max,3,task,35.5033,2964.906848512113
Google,G,max,max,4,task,14.8996,2879.84693252875
Google,G,max,max,5,task,17.4497,2886.024758070213
Google,G,max,max,6,task,18.1482,2905.768292898728
Google,G,max,max,7,task,20.3638,2925.681359044995
Google,G,max,max,8,task,29.056,2915.789932289932
Google,G,max,max,9,task,12.3068,2885.9329004329
Google,G,max,max,10,task,17.9226,2942.948250162536
Google,G,max,max,10,out,2.2971,
Google,L,max,max,0,in,30.058,2557.1308390186227
Google,L,max,max,0,task,44.6218,3275.4553193222555
Google,L,max,max,1,task,65.3611,3177.331919898637
Google,L,max,max,2,task,23.4965,3200.83328831992
Google,L,max,max,3,task,48.6374,3356.3945412875883
Google,L,max,max,4,task,15.6052,3207.715052624143
Google,L,max,max,5,task,17.5612,3233.110178710179
Google,L,max,max,6,task,23.2211,3154.5211360485428
Google,L,max,max,7,task,19.7953,3259.6807359307363
Google,L,max,max,8,task,29.7366,3368.250716429254
Google,L,max,max,9,task,11.3474,3178.6135549038777
Google,L,max,max,10,task,16.7763,3239.714975604898
Google,L,max,max,10,out,2.27889,
InceptionV3,B,max,max,0,in,20.6793,3363.815142119281
InceptionV3,B,max,max,0,task,5.6656,5365.439393939395
InceptionV3,B,max,max,1,task,15.2626,5260.377754820936
InceptionV3,B,max,max,2,task,26.4178,6169.750295227076
InceptionV3,B,max,max,3,task,3.1924,3601.919191919192
InceptionV3,B,max,max,4,task,23.2797,6631.303817587642
InceptionV3,B,max,max,5,task,19.2095,6623.0775890775885
InceptionV3,B,max,max,6,task,21.5295,6654.156197063803
InceptionV3,B,max,max,7,task,22.5896,6712.5889532580695
InceptionV3,B,max,max,8,task,22.4746,7400.996732026142
InceptionV3,B,max,max,9,task,23.8,6702.610393147159
InceptionV3,B,max,max,10,task,29.3519,6739.480875577973
InceptionV3,B,max,max,11,task,29.1572,6814.377107128824
InceptionV3,B,max,max,12,task,33.8434,7023.302568709289
InceptionV3,B,max,max,13,task,16.3541,6761.90842172182
InceptionV3,B,max,max,14,task,21.4018,5823.100288600289
InceptionV3,B,max,max,15,task,25.8163,6072.202961851052
InceptionV3,B,max,max,16,task,2.2056,2975.990675990676
InceptionV3,B,max,max,16,out,1.46942,
InceptionV3,G,max,max,0,in,20.8911,3095.491658100354
InceptionV3,G,max,max,0,task,5.5566,3537.7702020202023
InceptionV3,G,max,max,1,task,15.5422,3430.7588566827694
InceptionV3,G,max,max,2,task,24.087,3541.8336238455863
InceptionV3,G,max,max,3,task,4.0233,2788.888888888889
InceptionV3,G,max,max,4,task,23.9069,3510.0005270292354
InceptionV3,G,max,max,5,task,22.9976,3562.2712293075374
InceptionV3,G,max,max,6,task,25.2119,3537.8955186689745
InceptionV3,G,max,max,7,task,25.9913,3498.3576539947508
InceptionV3,G,max,max,8,task,38.3119,3322.8586636022937
InceptionV3,G,max,max,9,task,32.0203,3461.840688673403
InceptionV3,G,max,max,10,task,42.0544,3401.242983811746
InceptionV3,G,max,max,11,task,42.1862,3403.2964989016805
InceptionV3,G,max,max,12,task,50.857,3411.843492484618
InceptionV3,G,max,max,13,task,25.197,3371.6078392789614
InceptionV3,G,max,max,14,task,27.8141,3455.918578451552
InceptionV3,G,max,max,15,task,35.9192,3395.437119601961
InceptionV3,G,max,max,16,task,2.2788,2489.205693296602
InceptionV3,G,max,max,16,out,2.52209,
InceptionV3,L,max,max,0,in,54.8072,2606.105113404838
InceptionV3,L,max,max,0,task,13.1997,3259.1008570554022
InceptionV3,L,max,max,1,task,43.2844,3162.1892070357026
InceptionV3,L,max,max,2,task,93.7101,3185.9056597183267
InceptionV3,L,max,max,3,task,7.2902,3203.737373737374
InceptionV3,L,max,max,4,task,80.2022,3347.3703725168034
InceptionV3,L,max,max,5,task,56.9155,3386.621212121212
InceptionV3,L,max,max,6,task,64.4321,3363.0437162214635
InceptionV3,L,max,max,7,task,67.5424,3358.6893507227683
InceptionV3,L,max,max,8,task,63.1947,3773.115246901717
InceptionV3,L,max,max,9,task,70.5032,3545.827366337761
InceptionV3,L,max,max,10,task,83.9631,3556.921231531003
InceptionV3,L,max,max,11,task,84.2079,3574.0838983286267
InceptionV3,L,max,max,12,task,97.7666,3606.449797894461
InceptionV3,L,max,max,13,task,47.0883,3620.020305747214
InceptionV3,L,max,max,14,task,54.4057,3448.568323679405
InceptionV3,L,max,max,15,task,70.8576,3458.386639014345
InceptionV3,L,max,max,16,task,3.4562,2698.111111111111
InceptionV3,L,max,max,16,out,1.62866,
InceptionV4,B,max,max,0,in,20.7787,3466.3873554559536
InceptionV4,B,max,max,0,task,5.6291,5536.035353535354
InceptionV4,B,max,max,1,task,15.4293,5393.421946740129
InceptionV4,B,max,max,2,task,26.9613,6256.115116649572
InceptionV4,B,max,max,3,task,17.4155,7430.691000918273
InceptionV4,B,max,max,4,task,51.2998,6917.521903104991
InceptionV4,B,max,max,5,task,24.9002,7914.67486024181
InceptionV4,B,max,max,6,task,25.3464,6961.349779627185
InceptionV4,B,max,max,7,task,25.1065,6915.729249902677
InceptionV4,B,max,max,8,task,25.007,6915.567921438863
InceptionV4,B,max,max,9,task,25.3777,6800.03378273034
InceptionV4,B,max,max,10,task,47.4207,7772.531871827813
InceptionV4,B,max,max,11,task,46.5342,7434.654313169808
InceptionV4,B,max,max,12,task,45.6649,7426.746285646578
InceptionV4,B,max,max,13,task,45.9077,7433.277723668335
InceptionV4,B,max,max,14,task,45.9509,7489.632592200511
InceptionV4,B,max,max,15,task,46.3171,7441.5914969152755
InceptionV4,B,max,max,16,task,46.051,7389.741920530765
InceptionV4,B,max,max,17,task,45.9475,7380.570893748842
InceptionV4,B,max,max,18,task,26.0628,7324.22293769859
InceptionV4,B,max,max,19,task,19.0992,6706.633064466398
InceptionV4,B,max,max,20,task,18.7104,6693.017223517221
InceptionV4,B,max,max,21,task,19.3995,6512.813882976926
InceptionV4,B,max,max,22,task,1.6254,2835.2525252525256
InceptionV4,B,max,max,22,out,1.76982,
InceptionV4,G,max,max,0,in,20.9713,3126.907678180406
InceptionV4,G,max,max,0,task,5.2786,3611.7323232323233
