Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
Google,B,max,max,0,in,0.00367087,3263.1212121212116
Google,B,max,max,0,task,15.9342,5652.073053365622
Google,B,max,max,1,task,19.1585,5059.849086099086
Google,B,max,max,2,task,9.03666,5680.320768246906
Google,B,max,max,3,task,17.8269,4641.571969696971
Google,B,max,max,4,task,5.31581,4805.286195286195
Google,B,max,max,5,task,6.22931,4770.383379247016
Google,B,max,max,6,task,6.65544,4828.187991021325
Google,B,max,max,7,task,6.83395,5164.366883116882
Google,B,max,max,8,task,9.8413,3860.2236652236666
Google,B,max,max,9,task,5.34241,4147.0803149031
Google,B,max,max,10,task,8.20941,5641.264782786628
Google,B,max,max,10,out,0.0022194,
Google,G,max,max,0,in,0.299492,2526.4170274170274
Google,G,max,max,0,task,26.3233,3002.129966397701
Google,G,max,max,1,task,21.3187,2899.745773240426
Google,G,max,max,2,task,13.6995,2955.32596459008
Google,G,max,max,3,task,29.1814,2850.2113778477415
Google,G,max,max,4,task,12.2237,2874.8088670588677
Google,G,max,max,5,task,14.2482,2891.247371147371
Google,G,max,max,6,task,14.8744,2889.293322838777
Google,G,max,max,7,task,16.5525,2911.2913879050243
Google,G,max,max,8,task,23.6449,2899.8483811845877
Google,G,max,max,9,task,10.122,2923.3853446217086
Google,G,max,max,10,task,14.8388,3003.24223781765
Google,G,max,max,10,out,0.106424,
Google,L,max,max,0,in,0.00530833,2454.313131313131
Google,L,max,max,0,task,42.4659,3102.8978878889293
Google,L,max,max,1,task,62.8779,3095.4382303426423
Google,L,max,max,2,task,22.9548,3220.186371288644
Google,L,max,max,3,task,47.1408,3130.3644553644544
Google,L,max,max,4,task,14.8801,3128.161310070401
Google,L,max,max,5,task,16.8205,3087.1361150820962
Google,L,max,max,6,task,22.5587,3183.119473119473
Google,L,max,max,7,task,19.2781,3298.085906738104
Google,L,max,max,8,task,28.578,3108.9163673206226
Google,L,max,max,9,task,11.1508,3138.3829201101926
Google,L,max,max,10,task,16.5014,3121.235321103574
Google,L,max,max,10,out,0.00280697,
InceptionV3,B,max,max,0,in,0.00392507,3251.6464646464647
InceptionV3,B,max,max,0,task,5.53711,5016.178604224059
InceptionV3,B,max,max,1,task,14.6769,5722.821671813087
InceptionV3,B,max,max,2,task,26.8027,3795.40404040404
InceptionV3,B,max,max,3,task,3.09113,6030.472008017083
InceptionV3,B,max,max,4,task,23.2244,5967.229336320245
InceptionV3,B,max,max,5,task,19.1283,6144.477453102454
InceptionV3,B,max,max,6,task,21.606,6174.664345931609
InceptionV3,B,max,max,7,task,22.8944,6460.791013853709
InceptionV3,B,max,max,8,task,22.7897,6016.205749354006
InceptionV3,B,max,max,9,task,23.4456,6051.674919872444
InceptionV3,B,max,max,10,task,29.0748,6035.273409649007
InceptionV3,B,max,max,11,task,29.7387,6286.256585579893
InceptionV3,B,max,max,12,task,34.0344,5976.934583025491
InceptionV3,B,max,max,13,task,16.0503,5219.017728924356
InceptionV3,B,max,max,14,task,21.6281,5522.2603162610585
InceptionV3,B,max,max,15,task,25.9052,2723.2634032634032
